message_id,action,message_type,reason,confidence,evidence_message_ids
msg_032,digest,event,Non-urgent group query,0.8,msg_0285
msg_106,notify,event,Time-sensitive dance practice update,0.9,msg_0234
msg_006,notify,event,Maintenance closure,0.9,none
msg_109,notify,urgent,Admin notice with deadline,0.98,msg_0151
msg_108,mute,scam,Suspicious link,0.9,msg_0093;msg_0094
msg_019,mute,scam,Unverified sender,0.9,msg_0093;msg_0094
msg_088,mute,unknown,Failed transcription,0.8,none
msg_056,notify,event,Time-sensitive appointment update,0.9,none
msg_027,mute,promotion,Repetitive business promotion,0.9,msg_0272;msg_0109;msg_0033;msg_0007
msg_050,notify,business_update,Health update,0.9,message_0155;message_0156
msg_083,digest,unknown,Voice transcript failed,0.6,none
msg_063,mute,scam,Suspicious payment request,0.9,none
msg_033,notify,personal,Non-urgent personal check-in,0.8,none
msg_061,mute,spam,Repetitive forwarded message,0.9,message_0194;message_0247
msg_020,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_017,mute,scam,Suspicious payment demand,0.9,message_0089;message_0090
msg_058,mute,spam,Repetitive forwarded message,0.9,message_0078;message_0172
msg_026,mute,scam,Unverified domain,0.9,msg_0032;msg_0108
msg_047,notify,event,Lift maintenance alert,0.9,none
msg_046,mute,scam,OTP phishing attempt,0.99,msg_046;message_0087
msg_042,notify,urgent,Security alert,0.9,none
msg_079,mute,scam,Asks for OTP,0.98,msg_0053;msg_0056
msg_098,notify,urgent,Requires immediate attention,0.9,none
msg_037,notify,urgent,Time-sensitive group alert,0.9,none
msg_007,digest,event,Society event update,0.8,none
msg_085,mute,scam,Unverified sender,0.9,message_0053;message_0056
msg_001,notify,urgent,Time-sensitive water supply alert,0.9,none
msg_021,notify,payment,Urgent payment due,0.9,none
msg_028,mute,promotion,User opted out of promotions,0.9,msg_0034
msg_012,mute,spam,Repetitive forwarded message,0.92,message_0194;message_0247
msg_064,notify,urgent,Refund deadline,0.9,none
msg_103,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_031,notify,business_update,Meeting reminder,0.9,none
msg_057,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_087,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_067,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_039,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_082,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_066,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_049,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_015,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_051,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_097,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_089,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_053,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_059,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_024,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_072,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_036,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_076,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_055,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_102,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_080,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_093,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_034,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_035,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_101,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_041,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_011,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_110,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_095,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_074,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_073,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_054,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_068,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_100,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_062,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_096,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_043,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_077,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_081,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_025,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
msg_084,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_022,digest,unknown,LLM error: Error code: 429 - {'error': {'message': 'Rate limi,0.2,none
